track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Anticipatory Crowd,Another Stoney Evening,studio,David Crosby,44413,1/13/1998,3,0.221,0.907,3,-24.88,1,0.185,0.817,0.944,0.967,0.0133,97.034,3
Anything at All,CSN,studio,"Crosby, Stills & Nash",186106,6/17/1977,25,0.458,0.0895,7,-20.643,0,0.0403,0.646,0.00186,0.092,0.0493,95.549,4
Are There Any More Real Cowboys?,Old Ways,studio,Neil Young,183826,8/12/1985,18,0.628,0.455,9,-9.961,1,0.0299,0.104,5.92e-06,0.186,0.731,129.808,4
Are You Ready for the Country?,Harvest,studio,Neil Young,205129,2/1/1972,38,0.687,0.389,2,-17.445,1,0.0327,0.761,0.16,0.0708,0.925,91.245,4
Around Us,Man Alive!,studio,Stephen Stills,225173,8/9/2005,0,0.572,0.755,8,-3.496,1,0.067,0.0391,1.99e-05,0.0721,0.827,166.877,4
Arrows,Live It Up,live,"Crosby, Stills & Nash",233026,6/22/1990,6,0.403,0.265,9,-16.947,0,0.0287,0.764,0.00288,0.113,0.109,100.14,3
As I Come Of Age,Stills,studio,Stephen Stills,156200,1975,16,0.559,0.406,0,-11.389,1,0.0262,0.455,5.29e-05,0.122,0.491,76.428,4
Baby What You Want Me to Do,Paradox,soundtrack,Neil Young,82973,3/23/2018,6,0.768,0.0445,1,-23.525,0,0.117,0.778,0.00445,0.193,0.531,76.514,4
Bach Mode (Pre-Critical Mass),If I Could Only Remember My Name,studio,David Crosby,119626,1971,6,0.23,0.00306,5,-17.789,1,0.0462,0.942,1.5e-06,0.11,0.365,70.981,1
Back Home,This Path Tonight,studio,Graham Nash,288050,2016,8,0.363,0.0874,2,-19.683,1,0.033,0.875,0.0157,0.103,0.0392,134.062,4
Bad Boyz,After the Storm,studio,"Crosby, Stills & Nash",257693,8/16/1994,8,0.599,0.859,9,-8.918,1,0.0386,0.0597,1.69e-06,0.14,0.778,83.611,4
Bad Fog of Loneliness,Harvest,studio,Neil Young,116440,2/1/1972,24,0.648,0.439,7,-12.661,1,0.0262,0.0487,1.85e-05,0.15,0.38,107.958,4
Bad News Beat,Landing On Water,studio,Neil Young,197693,7/21/1986,10,0.842,0.493,0,-10.801,1,0.0341,0.37,0.0041,0.283,0.889,118.751,4
Bad News Comes to Town,Bluenote Cafe,live,Neil Young,480026,11/13/2015,7,0.447,0.528,9,-8.873,1,0.0372,0.109,0.00397,0.986,0.248,115.82,4
Balanced on a Pin,Here If You Listen,studio,David Crosby,270120,10/26/2018,11,0.665,0.208,2,-15.086,0,0.0377,0.956,0.233,0.119,0.167,117.064,4
Band Intro,ROXY: Tonight's the Night Live,live,Neil Young,83053,4/21/2018,10,0.404,0.383,0,-20.77,1,0.841,0.669,5.85e-05,0.73,0.183,113.216,3
Band Introductions,Live at Berkeley 1971,live,Stephen Stills,252003,4/28/2023,3,0.349,0.779,11,-21.422,0,0.887,0.576,0.0,0.9,0.0366,70.132,5
Barrel of Pain (Half Life),Allies,live,"Crosby, Stills & Nash",375533,6/6/1983,7,0.523,0.445,9,-16.281,0,0.11,0.21,5.12e-06,0.705,0.725,81.425,4
Barrel of Pain (Half-Life),Reflections,box set,Graham Nash,256760,2009,4,0.543,0.535,9,-9.052,0,0.0296,0.251,9.16e-06,0.0715,0.848,160.653,4
Barstool Blues,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,181920,11/25/2020,8,0.542,0.566,4,-7.13,1,0.0248,0.127,0.0,0.0989,0.876,105.549,4
Be Yourself,Songs For Beginners,studio,Graham Nash,189106,1971,24,0.443,0.27,7,-13.564,1,0.0398,0.46,0.0,0.122,0.521,157.591,3
Beaucoup Yumbo,Thoroughfare Gap,studio,Stephen Stills,219573,12/15/1978,4,0.614,0.397,10,-13.62,1,0.0277,0.0383,0.134,0.0926,0.526,139.242,4
Beautiful Bluebird,Chrome Dreams II,studio,Neil Young,267440,10/22/2007,17,0.53,0.28,7,-16.877,1,0.0336,0.296,0.0202,0.086,0.552,142.751,4
Before Tomorrow Falls on Love,Sky Trails,studio,David Crosby,230760,9/29/2017,11,0.528,0.104,0,-16.774,1,0.0341,0.938,0.0205,0.112,0.104,104.301,4
Behind The Shades,Reflections,box set,Graham Nash,242040,2009,2,0.684,0.538,9,-10.664,1,0.0269,0.0487,0.0,0.343,0.847,114.455,4
Beneath the Waves,This Path Tonight,studio,Graham Nash,241117,2016,9,0.418,0.418,9,-16.398,0,0.05,0.549,0.121,0.107,0.198,184.74,4
Better Days,Songs For Beginners,studio,Graham Nash,230173,1971,46,0.48,0.298,6,-13.477,1,0.0356,0.732,0.00283,0.1,0.0557,128.023,4
Big Green Country,Mirror Ball,studio,Neil Young,308266,8/7/1995,22,0.37,0.763,4,-11.871,1,0.0334,0.00141,0.589,0.212,0.335,146.595,4
Birds,After the Gold Rush,studio,Neil Young,153373,8/31/1970,37,0.375,0.0679,7,-18.547,1,0.0363,0.98,0.00217,0.103,0.368,142.726,4
Bittersweet,Wind on the Water,studio,David Crosby,160373,1975,14,0.407,0.356,5,-12.471,1,0.0276,0.896,0.000775,0.151,0.25,131.409,3
Black Queen,Stephen Stills,studio,Stephen Stills,326373,1970,23,0.516,0.172,5,-19.866,1,0.0306,0.769,0.0171,0.098,0.404,89.782,4
Blackbird,Allies,live,"Crosby, Stills & Nash",182160,6/6/1983,25,0.343,0.0488,9,-25.922,1,0.0404,0.939,1.49e-06,0.873,0.385,168.544,4
Blacknotes,Graham Nash & David Crosby,studio,Graham Nash,57226,1972,13,0.389,0.393,1,-15.523,1,0.105,0.961,1.43e-05,0.675,0.467,159.747,4
Blind Fiddler,Live At Shepherd's Bush,live,Stephen Stills,323133,10/27/2009,6,0.543,0.0918,7,-18.393,1,0.0504,0.766,0.0,0.164,0.509,82.889,4
Bluebird,CSN 2012,live,"Crosby, Stills & Nash",438173,7/10/2012,12,0.378,0.789,7,-7.472,1,0.171,0.627,0.00526,0.702,0.459,122.844,4
Bluebird Revisited,Stephen Stills 2,studio,Stephen Stills,323000,1971,14,0.363,0.52,0,-8.541,1,0.038,0.649,0.0219,0.147,0.319,128.902,4
Blues for Nothing,Super Session,studio,Mike Bloomfield,255066,1968,30,0.272,0.548,0,-9.059,1,0.0439,0.219,0.0504,0.247,0.628,184.992,3
Bookstore Rap - Live - Canterbury House 1968,Sugar Mountain - Live at Canterbury House 1968,live,Neil Young,266880,11/28/2008,5,0.533,0.104,7,-22.79,1,0.599,0.926,0.0,0.172,0.091,88.782,5
Born to Run,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,198733,11/25/2020,9,0.42,0.652,7,-9.479,1,0.028,0.0019,0.704,0.0862,0.623,144.993,4
Borrowed Tune,Tonight's the Night,live,Neil Young,205366,6/1/1975,30,0.437,0.0153,5,-21.965,1,0.0496,0.966,3.69e-05,0.0828,0.218,106.445,3
Bound for Glory,Old Ways,studio,Neil Young,348000,8/12/1985,22,0.618,0.378,7,-11.397,1,0.0248,0.189,0.000211,0.156,0.722,86.143,4
Boxcar,Chrome Dreams II,studio,Neil Young,164413,10/22/2007,14,0.716,0.407,4,-15.703,0,0.043,0.404,0.00352,0.075,0.457,89.223,4
Boxes,For Free,studio,David Crosby,254853,7/23/2021,15,0.669,0.587,0,-9.388,1,0.0406,0.277,0.0256,0.114,0.55,159.995,4
Bright Sunny Day,Neil Young Archives Vol. III Takes,archives,Neil Young,163233,2020,26,0.632,0.414,9,-13.227,0,0.0352,0.617,4.89e-06,0.35,0.838,115.083,4
Broken Arrow - Live - Canterbury House 1968,Sugar Mountain - Live at Canterbury House 1968,live,Neil Young,308720,11/28/2008,8,0.454,0.313,0,-13.824,1,0.0985,0.913,1.6e-06,0.676,0.17,142.976,4
Broken Bird,Whistling Down the Wire,studio,David Crosby,164466,1976,6,0.565,0.15,4,-17.458,0,0.0338,0.425,0.00136,0.138,0.188,144.821,4
Buddha on a Hill,Here If You Listen,studio,David Crosby,247253,10/26/2018,12,0.586,0.314,7,-11.417,1,0.0342,0.68,0.176,0.115,0.139,118.081,4
Buddy's Back,Now,studio,Graham Nash,164133,5/19/2023,9,0.69,0.663,9,-7.86,1,0.0264,0.0268,4.6e-05,0.207,0.76,125.956,4
Bumblebee (Do You Need a Place to Hide?),Just Roll Tape - April 26th 1968,live,Stephen Stills,112413,7/9/2007,9,0.684,0.342,7,-11.724,1,0.049,0.706,3.85e-06,0.183,0.612,116.217,4
Burned,Before and After,live,Neil Young,126386,12/8/2023,18,0.575,0.369,0,-12.555,1,0.03,0.821,1.35e-05,0.699,0.464,128.863,4
Buyin' Time,Illegal Stills,studio,Stephen Stills,215333,1976,10,0.613,0.843,0,-10.86,1,0.0733,0.264,0.00449,0.296,0.907,94.743,4
By the Light of Common Day,Lighthouse,studio,David Crosby,375293,10/21/2016,12,0.686,0.152,0,-14.101,1,0.0403,0.918,0.00045,0.171,0.245,121.811,4
California Sunset,Old Ways,studio,Neil Young,176706,8/12/1985,19,0.413,0.582,5,-8.731,1,0.0274,0.202,2.85e-05,0.238,0.872,175.727,4
Camera,After the Storm,studio,"Crosby, Stills & Nash",260866,8/16/1994,23,0.867,0.642,11,-8.307,1,0.0317,0.261,0.0293,0.0707,0.897,133.395,4
Campaigner,Hitchhiker,studio,Neil Young,259400,9/8/2017,19,0.577,0.279,5,-15.675,1,0.0337,0.202,0.00447,0.115,0.281,117.374,4
Can't Get No Booty,Thoroughfare Gap,studio,Stephen Stills,229773,12/15/1978,5,0.681,0.664,9,-12.053,1,0.0346,0.0506,0.196,0.181,0.966,113.599,4
Can't Stop Workin',Peace Trail,studio,Neil Young,165426,12/2/2016,15,0.699,0.365,11,-15.863,0,0.0363,0.0375,0.00663,0.0839,0.644,133.043,4
Candy Barr 2 Rap - Live,ROXY: Tonight's the Night Live,live,Neil Young,27373,4/21/2018,0,0.599,0.17,2,-24.881,0,0.427,0.882,0.00012,0.287,0.0396,50.513,4
Candy Barr Rap - Live,ROXY: Tonight's the Night Live,live,Neil Young,30880,4/21/2018,9,0.487,0.0335,11,-30.421,0,0.0791,0.887,3.75e-05,0.198,0.49,81.479,4
Capitol,Sky Trails,studio,David Crosby,415933,9/29/2017,11,0.62,0.545,5,-10.286,1,0.0525,0.39,0.216,0.0909,0.504,87.773,4
Captain Kennedy,Hawks & Doves,studio,Neil Young,173266,10/29/1980,21,0.47,0.159,3,-19.142,1,0.0325,0.632,0.000175,0.127,0.754,160.892,4
Carried Away,CSN,studio,"Crosby, Stills & Nash",154000,6/17/1977,40,0.457,0.183,9,-16.153,0,0.039,0.808,3.27e-06,0.114,0.297,87.788,5
Carry Me,Wind on the Water,studio,David Crosby,214400,1975,30,0.686,0.28,4,-14.998,1,0.0307,0.525,4.22e-06,0.145,0.557,94.1,4
Carry On,Deja Vu ,studio,"Crosby, Stills, Nash & Young",265933,3/11/1970,55,0.463,0.496,1,-12.203,1,0.041,0.059,1.24e-06,0.271,0.533,118.505,4
Carry On/Questions,CSN 2012,live,"Crosby, Stills & Nash",523746,7/10/2012,27,0.345,0.788,7,-6.654,1,0.0816,0.484,0.00477,0.955,0.512,130.803,4
Cathedral,CSN,studio,"Crosby, Stills & Nash",317626,6/17/1977,39,0.417,0.189,11,-16.35,1,0.0366,0.704,5.39e-05,0.117,0.154,101.532,4
Change Partners,Stephen Stills 2,studio,Stephen Stills,197600,1971,32,0.363,0.639,9,-11.737,1,0.0505,0.108,0.0,0.108,0.509,165.238,3
Changes,A Letter Home,studio,Neil Young,236306,5/19/2014,12,0.445,0.257,4,-21.839,0,0.0504,0.937,0.285,0.113,0.632,142.318,4
Changing Highways,Neil Young Archives Vol. II (1972 - 1976),archives,Neil Young,122813,11/25/2020,8,0.566,0.469,7,-10.945,1,0.0299,0.135,0.0278,0.0975,0.6,165.326,4
Charlie,Crosby & Nash,studio,Crosby & Nash,213453,8/10/2004,10,0.747,0.178,5,-14.228,1,0.0376,0.824,0.00101,0.108,0.119,104.059,4
Cherokee,Stephen Stills,studio,Stephen Stills,203226,1970,19,0.468,0.601,2,-10.343,1,0.0479,0.0709,0.173,0.2,0.625,141.234,4
