track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Girl to Be on My Mind,Graham Nash & David Crosby,studio,Graham Nash,205720,1972,14,0.511,0.401,9,-10.073,1,0.0298,0.747,0.103,0.117,0.161,124.252,4
Immigration Man,Graham Nash & David Crosby,studio,Graham Nash,178906,1972,36,0.491,0.887,7,-7.433,1,0.0449,0.25,0,0.221,0.694,87.998,4
Page 43,Graham Nash & David Crosby,studio,Graham Nash,173880,1972,23,0.647,0.263,4,-9.414,1,0.0295,0.496,0.000652,0.168,0.0777,105.512,4
Southbound Train,Graham Nash & David Crosby,studio,Graham Nash,236213,1972,21,0.572,0.307,5,-13.292,1,0.0255,0.159,3.50E-06,0.139,0.438,102.266,3
Strangers Room,Graham Nash & David Crosby,studio,Graham Nash,145933,1972,16,0.416,0.436,2,-10.159,0,0.0298,0.76,0.00109,0.0961,0.291,144.058,4
The Wall Song,Graham Nash & David Crosby,studio,Graham Nash,265906,1972,16,0.36,0.625,2,-7.567,1,0.0584,0.381,0,0.146,0.526,175.629,4
Where Will I Be?,Graham Nash & David Crosby,studio,Graham Nash,201760,1972,24,0.294,0.0315,9,-12.768,1,0.0341,0.922,0.000168,0.236,0.141,89.048,4
Whole Cloth,Graham Nash & David Crosby,studio,Graham Nash,273080,1972,15,0.534,0.418,9,-9.309,0,0.0436,0.555,0.00217,0.121,0.227,91.649,4
Broken Bird,Whistling Down the Wire,studio,David Crosby,164466,1976,6,0.565,0.15,4,-17.458,0,0.0338,0.425,0.00136,0.138,0.188,144.821,4
Dancer,Whistling Down the Wire,studio,David Crosby,290693,1976,5,0.357,0.379,2,-12.47,0,0.0294,0.286,0.304,0.135,0.234,95.586,1
Foolish Man,Whistling Down the Wire,studio,David Crosby,269640,1976,6,0.517,0.206,10,-13.749,1,0.0347,0.766,0.00211,0.108,0.19,106.656,4
J.B.'s Blues,Whistling Down the Wire,studio,David Crosby,161506,1976,4,0.675,0.502,7,-10.361,1,0.0316,0.478,0.0193,0.116,0.895,92.458,4
Marguerita,Whistling Down the Wire,studio,David Crosby,253160,1976,5,0.622,0.314,4,-14.197,0,0.0289,0.595,0.0166,0.105,0.317,106.684,3
Mutiny,Whistling Down the Wire,studio,David Crosby,285200,1976,6,0.599,0.608,4,-10.904,0,0.0537,0.188,0.0373,0.0727,0.838,76.609,4
Out Of The Darkness,Whistling Down the Wire,studio,David Crosby,264382,1976,6,0.341,0.317,0,-10,0,0.0278,0.751,4.52E-05,0.163,0.141,137.507,4
Spotlight,Whistling Down the Wire,studio,David Crosby,171160,1976,6,0.679,0.648,9,-9.205,1,0.0279,0.164,0.000333,0.0559,0.962,105.32,4
Taken At All,Whistling Down the Wire,studio,David Crosby,187600,1976,13,0.544,0.275,7,-14.108,1,0.0319,0.233,0.000304,0.0939,0.299,146.538,4
Time After Time,Whistling Down the Wire,studio,David Crosby,152306,1976,6,0.414,0.161,2,-16.312,1,0.0341,0.684,0.0138,0.115,0.285,94.992,3
Bittersweet,Wind on the Water,studio,David Crosby,160373,1975,14,0.407,0.356,5,-12.471,1,0.0276,0.896,0.000775,0.151,0.25,131.409,3
Carry Me,Wind on the Water,studio,David Crosby,214400,1975,30,0.686,0.28,4,-14.998,1,0.0307,0.525,4.22E-06,0.145,0.557,94.1,4
Cowboy Of Dreams,Wind on the Water,studio,David Crosby,209200,1975,13,0.62,0.355,7,-11.726,1,0.0262,0.78,1.26E-06,0.188,0.498,107.471,3
Critical Mass,Wind on the Water,studio,David Crosby,330280,1975,20,0.412,0.21,1,-14.082,0,0.0309,0.9,0.00605,0.132,0.137,107.814,4
Fieldworker,Wind on the Water,studio,David Crosby,166826,1975,9,0.525,0.47,11,-11.015,0,0.034,0.371,0.0192,0.186,0.623,122.241,3
Homeward Through The Haze,Wind on the Water,studio,David Crosby,245840,1975,12,0.486,0.392,10,-11.276,1,0.0393,0.671,0.000766,0.101,0.253,110.155,4
Love Work Out,Wind on the Water,studio,David Crosby,290800,1975,13,0.533,0.712,9,-9.474,0,0.0307,0.108,0.00235,0.254,0.611,82.658,4
Low Down Payment,Wind on the Water,studio,David Crosby,295293,1975,8,0.372,0.486,7,-11.605,1,0.0382,0.567,0.0498,0.738,0.513,150.695,4
Mama Lion,Wind on the Water,studio,David Crosby,196160,1975,12,0.48,0.62,4,-10.592,0,0.0432,0.423,0.00803,0.11,0.556,125.519,3
Naked In The Rain,Wind on the Water,studio,David Crosby,149706,1975,17,0.629,0.222,7,-16.339,1,0.0268,0.78,0.000384,0.0907,0.358,84.995,4
Take The Money And Run,Wind on the Water,studio,David Crosby,203426,1975,14,0.508,0.61,2,-10.054,1,0.0265,0.66,0.0338,0.0863,0.628,91.57,4
