track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Deja Vu ,Deja Vu ,studio,"Crosby, Stills, Nash & Young",252373,3/11/1970,45,0.454,0.267,11,-15.915,0,0.036,0.81,0.221,0.296,0.203,137.052,4
Everybody I Love You,Deja Vu ,studio,"Crosby, Stills, Nash & Young",142000,3/11/1970,37,0.371,0.695,9,-8.559,1,0.0325,0.00288,0.00011,0.155,0.707,142.062,4
Helpless,Deja Vu ,studio,"Crosby, Stills, Nash & Young",217133,3/11/1970,50,0.54,0.26,2,-13.61,1,0.0309,0.86,0.00553,0.134,0.374,114.732,4
Our House,Deja Vu ,studio,"Crosby, Stills, Nash & Young",179760,3/11/1970,69,0.592,0.205,9,-14.601,1,0.048,0.896,5.46E-05,0.119,0.378,140.282,4
Teach Your Children,Deja Vu ,studio,"Crosby, Stills, Nash & Young",173466,3/11/1970,61,0.497,0.285,2,-14.537,1,0.0264,0.643,1.69E-05,0.389,0.667,154.707,4
Woodstock,Deja Vu ,studio,"Crosby, Stills, Nash & Young",233773,3/11/1970,49,0.458,0.539,4,-12.403,0,0.057,0.122,0.00946,0.17,0.56,118.95,4
30 Dollar Fine,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",165470,3/11/1970,10,0.616,0.654,0,-11.908,1,0.0349,0.0558,0.0297,0.14,0.955,145.162,4
Birds,Deja Vu (50th Anniversary Deluxe Edition),box set,Neil Young,216960,3/11/1970,19,0.461,0.174,7,-15.869,1,0.0354,0.778,0.000626,0.116,0.269,131.439,4
Bluebird Revisited,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",204560,3/11/1970,12,0.378,0.28,7,-14.168,1,0.0316,0.0881,0.000217,0.0965,0.559,135.213,4
Everyday We Live,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",198160,3/11/1970,13,0.387,0.482,0,-12.887,1,0.036,0.214,0.00169,0.263,0.651,166.564,4
Hold On Tight / Change Partners,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",304293,3/11/1970,10,0.663,0.488,7,-13.958,1,0.0329,0.429,0.00261,0.0883,0.704,79.77,4
Horses Through a Rainstorm,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",212933,3/11/1970,12,0.605,0.602,2,-11.736,1,0.0285,0.0127,1.99E-06,0.0666,0.944,122.153,4
How Have You Been,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills & Nash",224066,3/11/1970,22,0.557,0.14,4,-16.502,1,0.0321,0.888,0,0.284,0.204,119.868,3
I'll Be There,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",221533,3/11/1970,11,0.433,0.415,0,-13.782,1,0.0313,0.0212,4.02E-06,0.142,0.727,188.221,3
Ivory Tower,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",231866,3/11/1970,13,0.602,0.48,7,-13.644,1,0.0292,0.0558,0,0.109,0.67,80.449,4
Know You Got to Run,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",402733,3/11/1970,10,0.543,0.808,9,-11.035,1,0.0326,0.000116,0.00248,0.118,0.909,142.772,4
Laughing,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",249933,3/11/1970,11,0.581,0.273,2,-16.922,1,0.036,0.252,0.00516,0.0802,0.388,74.056,4
Question Why,Deja Vu (50th Anniversary Deluxe Edition),box set,Graham Nash,122640,3/11/1970,14,0.419,0.168,2,-16.755,0,0.057,0.632,0,0.141,0.495,167.988,3
Right on Rock 'N' Roll,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",167042,3/11/1970,9,0.451,0.676,2,-9.917,1,0.0411,0.000305,5.41E-05,0.326,0.852,131.2,4
Same Old Song,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",261720,3/11/1970,11,0.663,0.489,2,-12.074,1,0.0279,0.00459,6.15E-06,0.119,0.959,113.792,4
She Can't Handle It,Deja Vu (50th Anniversary Deluxe Edition),box set,Stephen Stills,404040,3/11/1970,14,0.487,0.128,11,-16.025,0,0.0345,0.918,7.56E-05,0.12,0.155,116.226,4
Sleep Song,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",181706,3/11/1970,16,0.537,0.0871,2,-19.438,0,0.0276,0.929,0.0484,0.107,0.389,100.471,3
So Begins the Task / Hold On Tight,Deja Vu (50th Anniversary Deluxe Edition),box set,Stephen Stills,466706,3/11/1970,20,0.377,0.174,7,-19.429,1,0.036,0.878,0.101,0.115,0.507,166.745,4
Song With No Words (Tree With No Leaves),Deja Vu (50th Anniversary Deluxe Edition),box set,David Crosby,193053,3/11/1970,18,0.338,0.177,5,-16.099,1,0.0359,0.88,0.000494,0.0958,0.332,181.918,4
The Lee Shore,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",363013,3/11/1970,20,0.396,0.348,9,-19.357,0,0.0324,0.456,0.0392,0.0837,0.616,152.274,4
Triad,Deja Vu (50th Anniversary Deluxe Edition),box set,David Crosby,330946,3/11/1970,16,0.514,0.114,7,-14.821,1,0.0349,0.848,2.01E-05,0.127,0.178,129.781,4
After the Garden,Deja Vu Live,live,"Crosby, Stills, Nash & Young",221866,7/22/2008,25,0.48,0.499,2,-10.23,1,0.0294,0.101,0.000222,0.95,0.432,91.242,4
