track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Dark Star,CSN,studio,"Crosby, Stills & Nash",285706,6/17/1977,45,0.676,0.491,9,-15.126,0,0.0641,0.442,0.0021,0.105,0.648,100.718,4
Fair Game,CSN,studio,"Crosby, Stills & Nash",212026,6/17/1977,29,0.68,0.576,7,-16.649,1,0.093,0.342,0.0016,0.14,0.753,86.562,4
I Give You Give Blind,CSN,studio,"Crosby, Stills & Nash",201160,6/17/1977,25,0.596,0.575,2,-10.777,0,0.0289,0.297,0,0.196,0.79,128.639,4
In My Dreams,CSN,studio,"Crosby, Stills & Nash",311840,6/17/1977,28,0.594,0.228,0,-18.222,1,0.0391,0.55,0.000221,0.116,0.365,116.947,4
Just a Song Before I Go,CSN,studio,"Crosby, Stills & Nash",133960,6/17/1977,56,0.671,0.233,11,-18.003,0,0.0378,0.875,0.00016,0.12,0.486,108.065,4
Run from Tears,CSN,studio,"Crosby, Stills & Nash",242866,6/17/1977,25,0.582,0.505,2,-14.587,1,0.0384,0.347,0.0173,0.133,0.7,96.981,4
See the Changes,CSN,studio,"Crosby, Stills & Nash",177666,6/17/1977,37,0.453,0.156,0,-18.645,1,0.0296,0.771,7.63E-05,0.564,0.522,166.193,4
Shadow Captain,CSN,studio,"Crosby, Stills & Nash",274040,6/17/1977,35,0.62,0.301,4,-16.401,1,0.0292,0.307,0.00667,0.103,0.3,143.193,4
Almost Gone,CSN 2012,live,"Crosby, Stills & Nash",273506,7/10/2012,10,0.404,0.744,9,-7.28,0,0.129,0.782,0.00619,0.517,0.575,165.634,4
As I Come Of Age,CSN 2012,live,"Crosby, Stills & Nash",249866,7/10/2012,8,0.423,0.235,9,-20.871,1,0.153,0.838,0,0.28,0.409,139.45,4
Bluebird,CSN 2012,live,"Crosby, Stills & Nash",438173,7/10/2012,12,0.378,0.789,7,-7.472,1,0.171,0.627,0.00526,0.702,0.459,122.844,4
Carry On/Questions,CSN 2012,live,"Crosby, Stills & Nash",523746,7/10/2012,27,0.345,0.788,7,-6.654,1,0.0816,0.484,0.00477,0.955,0.512,130.803,4
Déjà Vu,CSN 2012,live,"Crosby, Stills & Nash",798133,7/10/2012,12,0.425,0.468,4,-11.746,0,0.128,0.611,0.00555,0.691,0.206,109.014,4
For What It's Worth,CSN 2012,live,"Crosby, Stills & Nash",355520,7/10/2012,13,0.357,0.621,9,-7.99,1,0.141,0.693,0.000134,0.793,0.451,169.49,4
Girl From The North Country,CSN 2012,live,"Crosby, Stills & Nash",291560,7/10/2012,15,0.368,0.163,7,-22.168,1,0.0588,0.72,0,0.0832,0.141,143.569,4
Guinevere,CSN 2012,live,"Crosby, Stills & Nash",421706,7/10/2012,14,0.36,0.113,2,-23.256,1,0.0374,0.798,3.92E-05,0.0997,0.161,88.299,4
In Your Name,CSN 2012,live,"Crosby, Stills & Nash",306506,7/10/2012,8,0.465,0.22,4,-22.748,1,0.177,0.779,3.82E-06,0.189,0.434,95.344,3
