track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Encore Rap,Bluenote Cafe,live,Neil Young,67453,11/13/2015,4,0.163,0.746,4,-21.853,0,0.0814,0.679,0.665,0.965,0.0247,42.022,3
Fool for Your Love,Bluenote Cafe,live,Neil Young,252520,11/13/2015,6,0.582,0.624,9,-10.153,1,0.0381,0.177,0.104,0.756,0.309,126.363,4
Hello Lonely Woman,Bluenote Cafe,live,Neil Young,290866,11/13/2015,7,0.397,0.829,9,-6.678,1,0.046,0.285,0.0224,0.853,0.658,172.634,4
I'm Goin',Bluenote Cafe,live,Neil Young,334106,11/13/2015,6,0.51,0.879,9,-6.759,1,0.0565,0.0582,0.476,0.991,0.394,117.95,4
Life in the City,Bluenote Cafe,live,Neil Young,231626,11/13/2015,8,0.385,0.955,9,-5.591,1,0.0802,0.00139,0.000838,0.717,0.273,148.926,4
Married Man,Bluenote Cafe,live,Neil Young,185040,11/13/2015,6,0.515,0.844,6,-7.904,0,0.0623,0.0479,0.00566,0.972,0.528,124.147,4
One Thing,Bluenote Cafe,live,Neil Young,401533,11/13/2015,7,0.331,0.387,9,-10.332,0,0.0414,0.757,0.0178,0.965,0.19,95.036,4
Soul of a Woman,Bluenote Cafe,live,Neil Young,353906,11/13/2015,7,0.574,0.687,2,-8.493,1,0.0465,0.0626,0.000393,0.797,0.526,113.998,4
Sunny Inside,Bluenote Cafe,live,Neil Young,233320,11/13/2015,5,0.496,0.878,9,-8.767,1,0.0436,0.00495,0.000309,0.432,0.519,119.927,4
Ten Men Workin',Bluenote Cafe,live,Neil Young,511786,11/13/2015,9,0.509,0.876,9,-7.732,1,0.0526,0.00208,0.0428,0.964,0.482,124.052,4
This Note's for You,Bluenote Cafe,live,Neil Young,324426,11/13/2015,15,0.572,0.876,4,-6.678,0,0.0494,0.0869,0.0294,0.965,0.502,110.339,4
Twilight,Bluenote Cafe,live,Neil Young,469626,11/13/2015,7,0.555,0.456,4,-13.024,0,0.0288,0.331,0.087,0.977,0.233,104.672,4
Welcome Rap,Bluenote Cafe,live,Neil Young,34706,11/13/2015,5,0.362,0.739,10,-18.57,0,0.495,0.333,0.000738,0.946,0.065,128.705,5
Welcome to the Big Room,Bluenote Cafe,live,Neil Young,450853,11/13/2015,11,0.336,0.872,9,-6.259,1,0.13,0.219,0.0703,0.977,0.377,97.742,4
Hold Back the Tears,Chrome Dreams,studio,Neil Young,315200,8/11/2023,17,0.507,0.201,5,-13.191,1,0.0352,0.603,2.63E-05,0.0827,0.2,118.721,4
Sedan Delivery,Chrome Dreams,studio,Neil Young,321293,8/11/2023,16,0.436,0.671,2,-7.402,1,0.0286,0.345,1.47E-05,0.264,0.694,137.94,4
Stringman,Chrome Dreams,studio,Neil Young,211773,8/11/2023,17,0.327,0.154,5,-16.503,1,0.037,0.977,9.87E-06,0.741,0.234,177.414,4
Will to Love,Chrome Dreams,studio,Neil Young,431360,8/11/2023,20,0.539,0.287,9,-15.163,0,0.0377,0.862,0.00979,0.114,0.343,119.656,4
Beautiful Bluebird,Chrome Dreams II,studio,Neil Young,267440,10/22/2007,17,0.53,0.28,7,-16.877,1,0.0336,0.296,0.0202,0.086,0.552,142.751,4
Boxcar,Chrome Dreams II,studio,Neil Young,164413,10/22/2007,14,0.716,0.407,4,-15.703,0,0.043,0.404,0.00352,0.075,0.457,89.223,4
Dirty Old Man,Chrome Dreams II,studio,Neil Young,197320,10/22/2007,11,0.593,0.585,7,-11.226,1,0.0292,0.116,0.0698,0.192,0.66,127.595,4
Ever After,Chrome Dreams II,studio,Neil Young,211946,10/22/2007,9,0.645,0.243,7,-13.239,1,0.0295,0.307,0.00817,0.0974,0.367,82.875,3
No Hidden Path,Chrome Dreams II,studio,Neil Young,870293,10/22/2007,13,0.446,0.597,2,-11.24,1,0.0258,0.000655,0.542,0.305,0.348,87.889,4
Ordinary People,Chrome Dreams II,studio,Neil Young,1092960,10/22/2007,20,0.384,0.626,7,-8.063,1,0.0302,0.0309,0.000335,0.183,0.226,130.189,4
Shining Light,Chrome Dreams II,studio,Neil Young,283506,10/22/2007,12,0.292,0.22,2,-15.773,1,0.0318,0.678,0.0713,0.098,0.136,163.942,3
Spirit Road,Chrome Dreams II,studio,Neil Young,392320,10/22/2007,12,0.513,0.823,4,-10.143,0,0.0322,0.00175,0.0497,0.0494,0.704,128.392,4
The Believer,Chrome Dreams II,studio,Neil Young,158586,10/22/2007,12,0.853,0.214,2,-13.26,1,0.043,0.61,1.49E-05,0.12,0.812,75.251,4
The Way,Chrome Dreams II,studio,Neil Young,314640,10/22/2007,12,0.586,0.159,0,-19.549,1,0.0381,0.771,0.00187,0.102,0.089,106.262,3
Already One,Comes a Time,studio,Neil Young,293346,10/4/1978,28,0.602,0.288,2,-15.647,1,0.0258,0.189,3.94E-05,0.125,0.507,103.812,4
Comes a Time,Comes a Time,studio,Neil Young,185866,10/4/1978,47,0.481,0.432,0,-13.044,1,0.0317,0.22,1.50E-05,0.101,0.55,158.202,4
Field of Opportunity,Comes a Time,studio,Neil Young,189106,10/4/1978,26,0.522,0.377,7,-13.204,1,0.0297,0.168,0,0.142,0.741,145.648,4
Four Strong Winds,Comes a Time,studio,Neil Young,245635,10/4/1978,46,0.563,0.406,0,-13.852,1,0.0358,0.43,0,0.105,0.53,108.698,4
