track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Michael (Hedges Here),Reflections,box set,Graham Nash,154160,2009,2,0.485,0.0952,2,-17.169,1,0.0383,0.943,3.21E-05,0.0993,0.074,131.168,4
Mutiny,Reflections,box set,David Crosby,277813,2009,0,0.602,0.612,4,-9.863,0,0.0532,0.262,0.0786,0.492,0.816,76.53,4
Right Between the Eyes,Reflections,box set,Graham Nash,126213,2009,15,0.483,0.148,7,-18.481,1,0.0622,0.902,0.00791,0.113,0.435,143.895,4
Southbound Train,Reflections,box set,Graham Nash,235760,2009,28,0.571,0.373,5,-10.624,1,0.0252,0.137,1.77E-05,0.107,0.384,101.957,3
To The Last Whale: Critical Mass/Wind On The Water,Reflections,box set,David Crosby,330306,2009,0,0.404,0.211,1,-14.494,0,0.031,0.882,0.0109,0.131,0.117,107.921,4
Try to Find Me,Reflections,box set,Graham Nash,248040,2009,2,0.365,0.214,4,-11.498,1,0.0317,0.358,3.59E-06,0.104,0.109,137.813,4
Two Hearts,Reflections,box set,Carole King & Graham Nash,264773,2009,3,0.553,0.224,9,-12.856,1,0.0267,0.944,9.27E-05,0.13,0.0767,78.835,4
"Unequal Love - Live at Berkshire Performing Arts Center, August 1993",Reflections,box set,Graham Nash,290800,2009,2,0.431,0.213,9,-12.989,1,0.0354,0.904,1.87E-05,0.732,0.271,136.986,4
Water from the Moon,Reflections,box set,Graham Nash,172720,2009,2,0.558,0.772,4,-7.636,1,0.0278,0.0321,0.00128,0.189,0.854,93.644,4
We Breathe The Same Air,Reflections,box set,Graham Nash,165840,2009,1,0.284,0.666,2,-8.506,1,0.0454,0.00689,0,0.143,0.778,201.074,4
Be Yourself,Songs For Beginners,studio,Graham Nash,189106,1971,24,0.443,0.27,7,-13.564,1,0.0398,0.46,0,0.122,0.521,157.591,3
Better Days,Songs For Beginners,studio,Graham Nash,230173,1971,46,0.48,0.298,6,-13.477,1,0.0356,0.732,0.00283,0.1,0.0557,128.023,4
Chicago (Graham Nash),Songs For Beginners,studio,Graham Nash,171440,1971,41,0.662,0.332,9,-11.939,0,0.0306,0.286,0,0.142,0.638,82.28,4
I Used to Be a King,Songs For Beginners,studio,Graham Nash,281893,1971,28,0.388,0.519,2,-12.374,0,0.0392,0.0957,8.07E-05,0.0997,0.654,112.737,4
Man in the Mirror,Songs For Beginners,studio,Graham Nash,168960,1971,21,0.483,0.25,7,-12.737,1,0.036,0.588,0,0.14,0.478,115.224,3
Military Madness,Songs For Beginners,studio,Graham Nash,176666,1971,38,0.582,0.572,0,-10.711,1,0.0328,0.323,0,0.0541,0.506,120.376,4
Simple Man,Songs For Beginners,studio,Graham Nash,138133,1971,39,0.413,0.127,0,-14.806,1,0.037,0.957,1.45E-05,0.114,0.265,131.192,4
Sleep Song,Songs For Beginners,studio,Graham Nash,180160,1971,27,0.442,0.0191,0,-23.396,1,0.0403,0.895,9.39E-06,0.115,0.319,104.734,4
There's Only One,Songs For Beginners,studio,Graham Nash,241373,1971,22,0.511,0.327,2,-14.778,1,0.0291,0.427,0.00224,0.11,0.253,122.928,4
We Can Change the World,Songs For Beginners,studio,Graham Nash,66560,1971,31,0.489,0.386,0,-12.865,1,0.0427,0.25,0,0.207,0.621,165.248,4
Wounded Bird,Songs For Beginners,studio,Graham Nash,133066,1971,27,0.526,0.151,4,-15.511,0,0.0363,0.803,0,0.126,0.585,146.098,4
Another Broken Heart,This Path Tonight,studio,Graham Nash,297214,2016,18,0.625,0.429,0,-11.667,0,0.0276,0.484,0.268,0.117,0.532,91.379,4
Back Home,This Path Tonight,studio,Graham Nash,288050,2016,8,0.363,0.0874,2,-19.683,1,0.033,0.875,0.0157,0.103,0.0392,134.062,4
Beneath the Waves,This Path Tonight,studio,Graham Nash,241117,2016,9,0.418,0.418,9,-16.398,0,0.05,0.549,0.121,0.107,0.198,184.74,4
Cracks in the City,This Path Tonight,studio,Graham Nash,221495,2016,17,0.621,0.296,11,-14.596,0,0.0323,0.578,4.30E-06,0.0972,0.463,131.519,3
Encore,This Path Tonight,studio,Graham Nash,231783,2016,31,0.64,0.141,4,-17.564,1,0.0347,0.903,0.0463,0.111,0.157,128.137,4
Fire Down Below,This Path Tonight,studio,Graham Nash,207546,2016,16,0.658,0.335,11,-10.892,0,0.0347,0.617,0.391,0.104,0.205,86.529,4
Golden Days,This Path Tonight,studio,Graham Nash,218311,2016,20,0.466,0.11,8,-16.295,0,0.0296,0.912,6.12E-05,0.113,0.221,155.71,4
Mississippi Burning,This Path Tonight,studio,Graham Nash,164300,2016,10,0.633,0.343,10,-12.722,0,0.0492,0.653,0,0.224,0.76,162.968,4
Myself at Last,This Path Tonight,studio,Graham Nash,317629,2016,28,0.608,0.111,7,-18.526,1,0.039,0.887,0.0411,0.135,0.132,133.947,4
Target,This Path Tonight,studio,Graham Nash,214567,2016,14,0.792,0.16,1,-17.606,1,0.049,0.749,0.0187,0.0952,0.712,105.743,4
The Last Fall,This Path Tonight,studio,Graham Nash,261443,2016,7,0.63,0.125,2,-17.437,1,0.0415,0.84,0.000124,0.14,0.257,128.86,3
This Path Tonight,This Path Tonight,studio,Graham Nash,266723,2016,20,0.518,0.305,1,-11.496,0,0.0416,0.331,0.0142,0.1,0.104,174.542,4
Watch Out for the Wind,This Path Tonight,studio,Graham Nash,186691,2016,6,0.435,0.647,4,-10.744,0,0.0724,0.121,0.000109,0.368,0.475,165.866,4
And so It Goes,Wild Tales,studio,Graham Nash,288773,1973,18,0.582,0.376,5,-16.717,1,0.0274,0.173,0.176,0.265,0.479,134.52,4
Another Sleep Song,Wild Tales,studio,Graham Nash,282533,1973,19,0.61,0.0693,1,-23.452,0,0.0457,0.937,0.00662,0.134,0.277,130.698,4
Grave Concern,Wild Tales,studio,Graham Nash,166746,1973,19,0.554,0.653,5,-10.109,1,0.034,0.196,0.0146,0.0929,0.852,171.252,4
Hey You (Looking at the Moon),Wild Tales,studio,Graham Nash,137280,1973,34,0.747,0.32,0,-12.585,1,0.0324,0.147,0.00424,0.061,0.535,107.087,4
I Miss You,Wild Tales,studio,Graham Nash,186000,1973,17,0.491,0.067,6,-20.105,0,0.043,0.989,0.0928,0.0966,0.192,98.114,4
Oh! Camil (The Winter Song),Wild Tales,studio,Graham Nash,174720,1973,20,0.6,0.313,7,-15.263,1,0.0337,0.467,7.15E-06,0.157,0.705,96.56,3
On the Line,Wild Tales,studio,Graham Nash,156693,1973,27,0.634,0.45,9,-10.449,1,0.0338,0.337,2.19E-05,0.223,0.659,113.165,4
Prison Song,Wild Tales,studio,Graham Nash,193693,1973,36,0.631,0.313,0,-14.388,0,0.0475,0.476,0,0.0526,0.792,143.88,4
Wild Tales,Wild Tales,studio,Graham Nash,140400,1973,26,0.659,0.541,7,-15.224,1,0.042,0.561,0.00282,0.247,0.908,137.423,4
You'll Never Be the Same,Wild Tales,studio,Graham Nash,170106,1973,18,0.593,0.318,4,-12.945,1,0.0249,0.238,2.37E-05,0.15,0.652,87.464,4
