track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
49 Bye-Byes / America's Children - Live,"Crosby, Stills, Nash & Young",4 Way Street,395026,1971-04-07,25,0.398,0.717,5,-10.243,1,0.412,0.881,0.000256,0.962,0.313,122.853,4
Love the One You're With - Live,"Crosby, Stills, Nash & Young",4 Way Street,205000,1971-04-07,27,0.461,0.743,9,-11.583,0,0.0671,0.181,0.0,0.724,0.51,107.204,4
King Midas in Reverse - Live,"Crosby, Stills, Nash & Young",4 Way Street,223266,1971-04-07,22,0.419,0.55,1,-13.016,1,0.28,0.689,0.0,0.702,0.464,155.204,4
Laughing - Live,"Crosby, Stills, Nash & Young",4 Way Street,216133,1971-04-07,21,0.439,0.295,3,-13.524,1,0.0452,0.603,0.000919,0.935,0.205,153.338,3
Black Queen - Live,"Crosby, Stills, Nash & Young",4 Way Street,405200,1971-04-07,22,0.489,0.401,6,-15.819,1,0.0418,0.374,0.00095,0.986,0.51,86.466,4
"Medley: The Loner, Cinnamon Girl, Down by the River - Live","Crosby, Stills, Nash & Young",4 Way Street,580666,1971-04-07,27,0.458,0.407,8,-12.981,1,0.0503,0.494,0.000253,0.941,0.411,140.527,4
Pre-Road Downs - Live,"Crosby, Stills, Nash & Young",4 Way Street,184106,1971-04-07,22,0.55,0.837,9,-7.904,1,0.0431,0.134,0.000241,0.693,0.959,134.831,4
Long Time Gone - Live,"Crosby, Stills, Nash & Young",4 Way Street,358466,1971-04-07,26,0.317,0.717,7,-10.109,1,0.0529,0.0156,0.00734,0.673,0.69,179.685,4
Southern Man - Live,"Crosby, Stills, Nash & Young",4 Way Street,825026,1971-04-07,29,0.375,0.801,2,-10.662,0,0.0478,0.00498,0.15,0.683,0.809,152.815,4
Ohio - Live,"Crosby, Stills, Nash & Young",4 Way Street,214133,1971-04-07,26,0.273,0.782,2,-7.928,0,0.0372,0.0274,1.42e-06,0.932,0.677,161.686,4
Carry On - Live,"Crosby, Stills, Nash & Young",4 Way Street,859240,1971-04-07,25,0.531,0.867,9,-9.399,1,0.0659,0.00411,0.123,0.779,0.722,120.106,4
Find the Cost of Freedom - Live,"Crosby, Stills, Nash & Young",4 Way Street,141200,1971-04-07,25,0.384,0.153,8,-18.311,1,0.0348,0.714,1e-05,0.27,0.575,75.233,4
Carry On,"Crosby, Stills, Nash & Young",Deja Vu,265933,1970-03-11,58,0.463,0.496,1,-12.203,1,0.041,0.059,1.24e-06,0.271,0.533,118.505,4
Teach Your Children,"Crosby, Stills, Nash & Young",Deja Vu,173466,1970-03-11,63,0.497,0.285,2,-14.537,1,0.0264,0.643,1.69e-05,0.389,0.667,154.707,4
Almost Cut My Hair,"Crosby, Stills, Nash & Young",Deja Vu,269173,1970-03-11,55,0.471,0.471,7,-10.483,1,0.0437,0.185,0.00927,0.164,0.575,136.829,4
Helpless,"Crosby, Stills, Nash & Young",Deja Vu,217133,1970-03-11,51,0.54,0.26,2,-13.61,1,0.0309,0.86,0.00553,0.134,0.374,114.732,4
Woodstock,"Crosby, Stills, Nash & Young",Deja Vu,233773,1970-03-11,50,0.458,0.539,4,-12.403,0,0.057,0.122,0.00946,0.17,0.56,118.95,4
Deja Vu,"Crosby, Stills, Nash & Young",Deja Vu,252373,1970-03-11,48,0.454,0.267,11,-15.915,0,0.036,0.81,0.221,0.296,0.203,137.052,4
Our House,"Crosby, Stills, Nash & Young",Deja Vu,179760,1970-03-11,66,0.592,0.205,9,-14.601,1,0.048,0.896,5.46e-05,0.119,0.378,140.282,4
4 + 20,"Crosby, Stills, Nash & Young",Deja Vu,126640,1970-03-11,56,0.638,0.058,4,-25.243,1,0.0388,0.928,0.079,0.113,0.126,140.964,4
Country Girl,"Crosby, Stills, Nash & Young",Deja Vu,312133,1970-03-11,39,0.316,0.398,7,-12.558,0,0.031,0.589,2.93e-05,0.0929,0.367,120.903,3
Everybody I Love You,"Crosby, Stills, Nash & Young",Deja Vu,142000,1970-03-11,38,0.371,0.695,9,-8.559,1,0.0325,0.00288,0.00011,0.155,0.707,142.062,4
Suite - Judy Blue Eyes,"Crosby, Stills, Nash & Young",Fillmore East 1970,577493,1970,12,0.383,0.512,7,-11.13,1,0.36,0.743,0.000115,0.951,0.362,153.768,4
On The Way Home,"Crosby, Stills, Nash & Young",Fillmore East 1970,196000,1970,10,0.345,0.406,7,-12.045,1,0.0423,0.373,0.033,0.699,0.628,190.148,4
Teach Your Children,"Crosby, Stills, Nash & Young",Fillmore East 1970,199880,1970,15,0.479,0.489,2,-12.827,1,0.184,0.555,0.000189,0.653,0.593,147.792,4
Blackbird,"Crosby, Stills, Nash & Young",Fillmore East 1970,150866,1970,18,0.367,0.0784,2,-18.307,1,0.0304,0.81,5.39e-06,0.71,0.377,156.296,4
Tell Me Why,"Crosby, Stills, Nash & Young",Fillmore East 1970,199880,1970,13,0.533,0.306,7,-14.245,1,0.0434,0.67,0.00102,0.713,0.484,76.599,4
Triad,"Crosby, Stills, Nash & Young",Fillmore East 1970,299720,1970,7,0.413,0.163,4,-18.386,0,0.106,0.904,0.00208,0.693,0.288,150.29,4
Laughing,"Crosby, Stills, Nash & Young",Fillmore East 1970,330933,1970,6,0.45,0.128,3,-23.291,1,0.196,0.703,2.38e-06,0.876,0.189,99.775,5
Our House,"Crosby, Stills, Nash & Young",Fillmore East 1970,186880,1970,21,0.526,0.12,9,-13.357,1,0.0373,0.865,0.0,0.723,0.398,137.158,4
The Lee Shore,"Crosby, Stills, Nash & Young",Fillmore East 1970,268880,1970,10,0.286,0.147,4,-21.56,0,0.0415,0.763,4.02e-05,0.226,0.223,171.696,4
Simple Man,"Crosby, Stills, Nash & Young",Fillmore East 1970,172573,1970,7,0.456,0.277,0,-17.352,1,0.101,0.958,0.000575,0.709,0.329,151.955,4
Man In The Mirror,"Crosby, Stills, Nash & Young",Fillmore East 1970,161933,1970,6,0.464,0.223,2,-14.82,1,0.0958,0.748,0.0,0.683,0.229,122.115,4
Cinnamon Girl,"Crosby, Stills, Nash & Young",Fillmore East 1970,150933,1970,17,0.492,0.19,5,-16.519,0,0.0336,0.684,0.0165,0.13,0.453,86.34,4
Down By The River,"Crosby, Stills, Nash & Young",Fillmore East 1970,289454,1970,9,0.402,0.233,10,-17.158,1,0.177,0.702,2.5e-05,0.443,0.298,141.932,4
Guinnevere,"Crosby, Stills, Nash & Young",Fillmore East 1970,322760,1970,7,0.311,0.0573,2,-22.013,1,0.0395,0.883,0.00455,0.947,0.172,199.23,3
Only Love Can Break Your Heart,"Crosby, Stills, Nash & Young",Fillmore East 1970,229640,1970,12,0.464,0.238,2,-14.438,1,0.0619,0.618,0.0,0.801,0.351,106.034,3
Black Queen,"Crosby, Stills, Nash & Young",Fillmore East 1970,365480,1970,5,0.403,0.299,6,-16.533,1,0.0832,0.648,0.0109,0.715,0.595,184.483,4
49 Bye-Byes,"Crosby, Stills, Nash & Young",Fillmore East 1970,482600,1970,4,0.462,0.586,5,-11.479,1,0.389,0.889,0.00139,0.708,0.531,118.107,4
Love The One You're With,"Crosby, Stills, Nash & Young",Fillmore East 1970,202373,1970,7,0.651,0.792,3,-11.824,1,0.0681,0.242,0.0,0.966,0.609,100.847,4
