track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Long May You Run,The Stills-Young Band,Long May You Run,236413,1976-20-09,37,0.565,0.482,2,-9.535,1,0.026,0.117,2.2e-05,0.112,0.697,146.168,4
Fontainebleau,The Stills-Young Band,Long May You Run,239493,1976-20-09,20,0.485,0.549,0,-10.028,1,0.0287,0.114,0.0898,0.142,0.145,120.484,4
Let It Shine,The Stills-Young Band,Long May You Run,286213,1976-20-09,12,0.413,0.596,4,-9.331,1,0.026,0.125,0.0123,0.382,0.645,156.87,4
Make Love to You,The Stills-Young Band,Long May You Run,416599,1976-20-09,4,0.216,0.744,8,-11.146,1,0.11,0.293,2.19e-05,0.556,0.46,93.381,4
Midnight on the Bay,The Stills-Young Band,Long May You Run,242573,1976-20-09,20,0.557,0.337,2,-13.268,1,0.0354,0.537,0.0943,0.1,0.454,150.162,4
Ocean Girl,The Stills-Young Band,Long May You Run,203720,1976-20-09,9,0.661,0.484,7,-10.597,1,0.0252,0.659,0.0127,0.0841,0.766,87.101,4
