track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Faith in Me,"Crosby, Stills, Nash & Young",Looking Forward,260440,1999-10-15,22,0.684,0.789,4.0,-9.087,1.0,0.0936,0.205,0.0,0.0934,0.856,97.905,4.0
Looking Forward,"Crosby, Stills, Nash & Young",Looking Forward,187466,1999-10-15,28,0.494,0.27,7.0,-14.63,1.0,0.0281,0.778,0.000285,0.117,0.375,165.969,4.0
Stand and Be Counted,"Crosby, Stills, Nash & Young",Looking Forward,292560,1999-10-15,22,0.554,0.545,9.0,-9.997,1.0,0.0292,0.404,0.00196,0.357,0.586,94.368,4.0
Heartland,"Crosby, Stills, Nash & Young",Looking Forward,268866,1999-10-15,21,0.496,0.414,4.0,-10.309,0.0,0.0436,0.799,0.0,0.0989,0.356,142.43,4.0
Seen Enough,"Crosby, Stills, Nash & Young",Looking Forward,314200,1999-10-15,19,0.552,0.464,2.0,-10.059,0.0,0.0477,0.277,2.79e-05,0.11,0.85,144.471,4.0
Slowpoke,"Crosby, Stills, Nash & Young",Looking Forward,271866,1999-10-15,32,0.645,0.261,7.0,-12.46,1.0,0.0274,0.491,0.00785,0.0865,0.263,78.306,4.0
Dream for Him,"Crosby, Stills, Nash & Young",Looking Forward,302840,1999-10-15,18,0.422,0.455,4.0,-14.287,1.0,0.0432,0.701,0.0257,0.116,0.533,172.594,4.0
No Tears Left,"Crosby, Stills, Nash & Young",Looking Forward,306933,1999-10-15,18,0.458,0.774,7.0,-8.357,1.0,0.0418,0.0807,2.36e-06,0.3,0.778,170.085,4.0
Out of Control,"Crosby, Stills, Nash & Young",Looking Forward,249893,1999-10-15,19,0.566,0.338,0.0,-12.166,1.0,0.0272,0.781,2.83e-06,0.112,0.3,95.004,4.0
Someday Soon,"Crosby, Stills, Nash & Young",Looking Forward,223800,1999-10-15,22,0.784,0.308,2.0,-13.884,1.0,0.0314,0.564,0.00151,0.147,0.657,86.601,4.0
Queen of Them All,"Crosby, Stills, Nash & Young",Looking Forward,263440,1999-10-15,16,0.668,0.689,4.0,-8.393,1.0,0.0299,0.16,0.00119,0.13,0.954,136.959,4.0
Sanibel,"Crosby, Stills, Nash & Young",Looking Forward,260760,1999-10-15,34,0.73,0.32,7.0,-10.986,1.0,0.0327,0.69,1.82e-06,0.11,0.428,115.108,4.0
Teach Your Children,"Crosby, Stills, Nash & Young",This One's For Bill,278583,1991,4,0.41,0.264,2.0,-15.434,1.0,0.0643,0.757,9.06e-06,0.485,0.443,151.77,4.0
