track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Paint You a Picture,David Crosby,Lighthouse,265253,2016-10-21,8,0.643,0.154,5.0,-15.936,1.0,0.0358,0.85,0.069,0.0928,0.297,109.686,4.0
What Makes It so?,David Crosby,Lighthouse,240306,2016-10-21,7,0.315,0.205,9.0,-13.069,0.0,0.0337,0.839,0.0303,0.129,0.211,85.052,4.0
By the Light of Common Day,David Crosby,Lighthouse,375293,2016-10-21,13,0.686,0.152,0.0,-14.101,1.0,0.0403,0.918,0.00045,0.171,0.245,121.811,4.0
What's Broken,David Crosby,Croz,228986,2014-01-28,28,0.695,0.538,7.0,-11.107,1.0,0.0258,0.445,0.101,0.133,0.453,92.408,4.0
Time I Have,David Crosby,Croz,229840,2014-01-28,15,0.673,0.341,10.0,-10.733,1.0,0.0293,0.151,0.00145,0.113,0.426,95.097,4.0
Holding On To Nothing,David Crosby,Croz,221640,2014-01-28,16,0.714,0.0987,2.0,-17.124,0.0,0.046,0.891,0.00141,0.0942,0.0733,127.79,4.0
The Clearing,David Crosby,Croz,240413,2014-01-28,22,0.608,0.663,2.0,-7.679,1.0,0.0386,0.497,0.126,0.0816,0.137,79.962,5.0
Radio,David Crosby,Croz,225986,2014-01-28,16,0.697,0.688,7.0,-7.51,1.0,0.0288,0.598,0.00271,0.12,0.253,87.996,4.0
Slice Of Time,David Crosby,Croz,256880,2014-01-28,14,0.728,0.333,2.0,-11.037,0.0,0.035,0.582,0.00378,0.086,0.255,62.496,3.0
Set That Baggage Down,David Crosby,Croz,241106,2014-01-28,14,0.738,0.386,2.0,-9.327,1.0,0.0355,0.21,0.00139,0.0907,0.442,112.581,4.0
If She Called,David Crosby,Croz,299306,2014-01-28,11,0.336,0.117,11.0,-15.527,1.0,0.036,0.867,0.0211,0.108,0.0532,180.201,4.0
Dangerous Night,David Crosby,Croz,357040,2014-01-28,13,0.707,0.412,0.0,-12.606,1.0,0.0405,0.559,0.127,0.144,0.0932,147.888,4.0
