track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Till It Shines,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Crosby,"Crosby, Stills & Nash"
Unequal Love,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Nash,"Crosby, Stills & Nash"
American Dream,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Neil Young,"Crosby, Stills, Nash & Young"
Clear Blue Skies,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Nash,"Crosby, Stills, Nash & Young"
Compass,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Crosby,"Crosby, Stills, Nash & Young"
Don't Say Goodbye,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Graham Nash, Joe Vitale","Crosby, Stills, Nash & Young"
Drivin' Thunder,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young","Crosby, Stills, Nash & Young"
Got It Made,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stephen Stills, Young","Crosby, Stills, Nash & Young"
Name of Love,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,"Crosby, Stills, Nash & Young"
Night Song,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young","Crosby, Stills, Nash & Young"
Nighttime for the Generals,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","David Crosby, Craig Doerge","Crosby, Stills, Nash & Young"
Shadowland,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Rick Ryan, Vitale","Crosby, Stills, Nash & Young"
Soldiers of Peace,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Doerge, Vitale","Crosby, Stills, Nash & Young"
That Girl,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Vitale, Bob Glaub","Crosby, Stills, Nash & Young"
This Old House,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,"Crosby, Stills, Nash & Young"
49 Bye-Byes,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,"Crosby, Stills, Nash"
Do for the Others,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,"Crosby, Stills, Nash"
Everybody's Talkin',"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Fred Neil,"Crosby, Stills, Nash"
Guinnevere,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",David Crosby,"Crosby, Stills, Nash"
Helplessly Hoping,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,"Crosby, Stills, Nash"
Lady of the Island,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Nash,"Crosby, Stills, Nash"
Long Time Gone,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Crosby,"Crosby, Stills, Nash"
Marrakesh Express,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Graham Nash,"Crosby, Stills, Nash"
Pre-Road Downs,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Nash,"Crosby, Stills, Nash"
Song with No Words (Tree with No Leaves),"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Crosby,"Crosby, Stills, Nash"
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stephen Stills,"Crosby, Stills, Nash"
